name,position,height,weight,team,pos_def,pref_side,sides
Stewart Downing,Defender (Left),180.0,64.0,Middlesbrough,Defender,Left,1
Rasmus Thelander,Defender (Centre),190.0,87.0,Vitesse,Defender,Centre,1
Baptiste Reynet,Goalkeeper,185.0,85.0,Toulouse,Goalkeeper,None,1
Juan Muñiz,Midfielder,174.0,76.0,Lugo,Midfielder,None,1
Joel Lynch,Defender (Centre),185.0,81.0,Queens Park Rangers,Defender,Centre,1
Jérémy Sorbon,Defender (Centre),183.0,79.0,Guingamp,Defender,Centre,1
Leandro Chichizola,Goalkeeper,185.0,80.0,Getafe,Goalkeeper,None,1
Luca-Milan Zander,Defender (Right),183.0,73.0,St. Pauli,Defender,Right,1
Yu Yang,Defender (Centre),183.0,72.0,Beijing Guoan,Defender,Centre,1
Arne Feick,Defender (Left),179.0,78.0,FC Heidenheim,Defender,Left,1
Nélson Monte,"Defender (Centre, Right)",187.0,78.0,Rio Ave,Defender,Centre,2
Aly Cissokho,Defender (Left),181.0,75.0,Antalyaspor,Defender,Left,1
Dennis Praet,Attacking Midfielder (Centre),181.0,78.0,Sampdoria,Midfielder,Centre,1
Youssouf Sabaly,"Defender (Left, Right)",173.0,67.0,Bordeaux,Defender,Left,2
Taha Yalciner,Defensive Midfielder (C),178.0,73.0,Alanyaspor,Defensive Midfielder,None,1
Dmitriy Poloz,"Attacking Midfielder (Centre, Left, Right)",183.0,73.0,Rubin Kazan,Midfielder,Centre,3
Barrie McKay,"Attacking Midfielder (Centre, Left, Right)",175.0,67.0,Swansea,Midfielder,Centre,3
Mickaël Alphonse,Defender,182.0,75.0,Dijon,Defender,None,1
Abdoulaye Diallo,Forward,184.0,77.0,Aves,Forward,None,1
Adama Diomande,Attacking Midfielder (Left),180.0,75.0,Los Angeles FC,Midfielder,Left,1
Daniel Crowley,Attacking Midfielder (Centre),170.0,68.0,Willem II,Midfielder,Centre,1
Adrian Semper,Goalkeeper,192.0,87.0,Chievo,Goalkeeper,None,1
Leander Dendoncker,Defensive Midfielder (C),188.0,76.0,Wolverhampton Wanderers,Defensive Midfielder,None,1
Florent Muslija,Midfielder,172.0,65.0,Hannover 96,Midfielder,None,1
Cristian Romero,Defender (Centre),185.0,79.0,Genoa,Defender,Centre,1
Sammy Ameobi,"Attacking Midfielder (Centre, Left, Right)",190.0,66.0,Bolton,Midfielder,Centre,3
Joshua King,"Attacking Midfielder (Centre, Left, Right)",180.0,74.0,Bournemouth,Midfielder,Centre,3
Márcio Mossoró,Attacking Midfielder (Centre),170.0,67.0,Istanbul Basaksehir,Midfielder,Centre,1
Ronaldo Vieira,Defensive Midfielder (C),180.0,70.0,Sampdoria,Defensive Midfielder,None,1
Carlos Fernández,Forward,185.0,72.0,Deportivo La Coruna,Forward,None,1
Patrick Twumasi,Attacking Midfielder (Right),176.0,67.0,Deportivo Alaves,Midfielder,Right,1
Gia Grigalava,"Defender (Centre, Left)",190.0,89.0,Arsenal Tula,Defender,Centre,2
Ryan Shawcross,Defender (Centre),191.0,76.0,Stoke,Defender,Centre,1
Mossa,Defender,178.0,66.0,Real Oviedo,Defender,None,1
Paxton Pomykal,Attacking Midfielder (Centre),170.0,65.0,FC Dallas,Midfielder,Centre,1
Granit Xhaka,Midfielder (Centre),185.0,82.0,Arsenal,Midfielder,Centre,1
Gonçalo Guedes,"Attacking Midfielder (Left, Right)",179.0,68.0,Valencia,Midfielder,Left,2
Agustín Verdugo,Defender (Right),169.0,68.0,Godoy Cruz,Defender,Right,1
Thiago Silva,Defender (Centre),183.0,79.0,Paris Saint-Germain,Defender,Centre,1
Seth Sinovic,Defender (Left),176.0,78.0,Sporting Kansas City,Defender,Left,1
Henry Wingo,Midfielder,183.0,77.0,Seattle Sounders FC,Midfielder,None,1
Alberto Benito,Defender,176.0,68.0,Real Zaragoza,Defender,None,1
Kei Kamara,"Attacking Midfielder (Left, Right)",191.0,85.0,Colorado Rapids,Midfielder,Left,2
Egor Sorokin,Defender (Centre),189.0,81.0,Rubin Kazan,Defender,Centre,1
Sam McQueen,Defender (Left),180.0,70.0,Middlesbrough,Defender,Left,1
Stefan Mitrovic,Defender (Centre),189.0,84.0,Strasbourg,Defender,Centre,1
Evan Bush,Goalkeeper,186.0,85.0,Montreal Impact,Goalkeeper,None,1
Paulinho,Forward,187.0,75.0,Braga,Forward,None,1
Nicolás De La Cruz,Attacking Midfielder (Centre),167.0,70.0,River Plate,Midfielder,Centre,1
Jordan Hamilton,Forward,186.0,80.0,Toronto FC,Forward,None,1
Tyrell Malacia,Defender (Left),169.0,67.0,Feyenoord,Defender,Left,1
Denis Terentjev,"Defender (Left, Right)",180.0,70.0,Zenit St. Petersburg,Defender,Left,2
Kevin Bonifazi,Defender (Centre),180.0,70.0,SPAL 2013,Defender,Centre,1
Frederik Rönnow,Goalkeeper,190.0,77.0,Eintracht Frankfurt,Goalkeeper,None,1
Russell Teibert,"Midfielder (Centre, Left, Right)",173.0,69.0,Vancouver Whitecaps,Midfielder,Centre,3
Fernando Barrientos,Defensive Midfielder (C),176.0,71.0,Defensa y Justicia,Defensive Midfielder,None,1
Santiago Patiño,Forward,185.0,73.0,Orlando City,Forward,None,1
Franco Di Santo,"Attacking Midfielder (Centre, Left, Right)",193.0,88.0,Rayo Vallecano,Midfielder,Centre,3
Lucas Torró,Defensive Midfielder (C),190.0,77.0,Eintracht Frankfurt,Defensive Midfielder,None,1
Steven Bergwijn,"Attacking Midfielder (Left, Right)",178.0,78.0,PSV Eindhoven,Midfielder,Left,2
Jires Kembo-Ekoko,"Midfielder (Left, Right)",179.0,75.0,Bursaspor,Midfielder,Left,2
Vanja Vucicevic,Forward,188.0,77.0,Krylya Sovetov Samara,Forward,None,1
Lucas Chaves,Goalkeeper,179.0,72.0,Argentinos Juniors,Goalkeeper,None,1
Alan Schons,Defensive Midfielder (C),180.0,80.0,Moreirense,Defensive Midfielder,None,1
Ricardo Esgaio,Defender (Right),171.0,66.0,Braga,Defender,Right,1
Martin Dubravka,Goalkeeper,190.0,80.0,Newcastle United,Goalkeeper,None,1
Vincent Kompany,Defender (Centre),190.0,85.0,ManCity,Defender,Centre,1
Abdullahi Shehu,Defender (Right),170.0,72.0,Bursaspor,Defender,Right,1
Konstantinos Mavropanos,Defender (Centre),194.0,88.0,Arsenal,Defender,Centre,1
Francisco Geraldes,Attacking Midfielder (Centre),171.0,66.0,Sporting CP,Midfielder,Centre,1
Todd Kane,Defender (Right),180.0,70.0,Hull,Defender,Right,1
Fedor Kudryashov,"Defender (Centre, Left)",184.0,78.0,Istanbul Basaksehir,Defender,Centre,2
Mert Yandas,Attacking Midfielder (Centre),176.82833333333335,72.9825,Sivasspor,Midfielder,Centre,1
José Izquierdo,Attacking Midfielder (Left),171.0,73.0,Brighton,Midfielder,Left,1
Memphis Depay,"Attacking Midfielder (Centre, Left)",176.0,78.0,Lyon,Midfielder,Centre,2
Ander Iturraspe,Midfielder (Centre),187.0,78.0,Athletic Bilbao,Midfielder,Centre,1
Dennis Hadzikadunic,Defender (Centre),186.0,81.0,FC Rostov,Defender,Centre,1
Christian Atsu,"Attacking Midfielder (Centre, Left, Right)",165.0,65.0,Newcastle United,Midfielder,Centre,3
Kevin Mirallas,"Midfielder (Centre, Left, Right)",182.0,72.0,Fiorentina,Midfielder,Centre,3
Angelo Fulgini,"Attacking Midfielder (Centre, Right)",183.0,71.0,Angers,Midfielder,Centre,2
Adam Marusic,Midfielder (Right),185.0,76.0,Lazio,Midfielder,Right,1
Rodrigo Becão,Defender (Centre),191.0,79.0,CSKA Moscow,Defender,Centre,1
Patrik Gunnarsson,Goalkeeper,176.82833333333335,72.9825,Brentford,Goalkeeper,None,1
Mattias Bjärsmyr,Defender (Centre),186.0,84.0,Sivasspor,Defender,Centre,1
Stefan Radu,"Defender (Centre, Left)",183.0,79.0,Lazio,Defender,Centre,2
Evgeny Kharin,Midfielder,183.0,72.0,FK Akhmat,Midfielder,None,1
Edwar López,Forward,179.0,73.0,Estudiantes,Forward,None,1
Eduard Campabadal,Defender (Right),176.0,76.0,Lugo,Defender,Right,1
Konstantin Pliev,Defender,180.0,69.0,FC Rostov,Defender,None,1
Richard Smallwood,Defensive Midfielder (C),180.0,72.0,Blackburn,Defensive Midfielder,None,1
Jordy Clasie,Defensive Midfielder (C),169.0,66.0,Feyenoord,Defensive Midfielder,None,1
Adama Traoré,Attacking Midfielder (Right),178.0,72.0,Wolverhampton Wanderers,Midfielder,Right,1
Serge Aurier,"Defender (Centre, Left, Right)",176.0,76.0,Tottenham,Defender,Centre,3
Héctor Bellerín,Defender (Right),178.0,74.0,Arsenal,Defender,Right,1
Andrés Lioi,Attacking Midfielder (Right),175.0,72.9825,Rosario Central,Midfielder,Right,1
Jan-Arie van der Heijden,Defender (Centre),185.0,76.0,Feyenoord,Defender,Centre,1
Mahmut Tekdemir,Defender (Centre),178.0,72.0,Istanbul Basaksehir,Defender,Centre,1
Almamy Touré,"Defender (Centre, Right)",183.0,72.0,Eintracht Frankfurt,Defender,Centre,2
Jack Lankester,Forward,176.82833333333335,72.9825,Ipswich,Forward,None,1
Bressan,Defender (Centre),182.0,74.0,FC Dallas,Defender,Centre,1
Brandt Bronico,Defensive Midfielder (C),176.0,70.0,Chicago Fire,Defensive Midfielder,None,1
Andrés Rentería,Forward,179.0,79.0,San Lorenzo,Forward,None,1
Erik Durm,"Defender (Left, Right)",183.0,72.0,Huddersfield,Defender,Left,2
Maciej Rybus,Defender (Left),173.0,75.0,Lokomotiv Moscow,Defender,Left,1
Kevin Stewart,Defensive Midfielder (C),181.0,73.0,Hull,Defensive Midfielder,None,1
Olamide Shodipo,Attacking Midfielder (Left),176.0,72.9825,Queens Park Rangers,Midfielder,Left,1
Daniel Steininger,Forward,187.0,79.0,Greuther Fuerth,Forward,None,1
Georgy Schennikov,Defender (Left),180.0,75.0,CSKA Moscow,Defender,Left,1
Ben Wiles,Midfielder (Centre),175.0,66.0,Rotherham,Midfielder,Centre,1
Bruno Fernandes,"Midfielder (Centre, Left, Right)",179.0,69.0,Sporting CP,Midfielder,Centre,3
Kelyn Rowe,Defender (Left),173.0,69.0,Sporting Kansas City,Defender,Left,1
Luca Siligardi,"Attacking Midfielder (Left, Right)",180.0,72.0,Parma Calcio 1913,Midfielder,Left,2
Alexander Rossipal,Defender,184.0,78.0,Sandhausen,Defender,None,1
Jubal,Defender (Centre),190.0,79.0,Boavista,Defender,Centre,1
Vukasin Jovanovic,Defender (Centre),189.0,88.0,Bordeaux,Defender,Centre,1
David Atanga,Attacking Midfielder (Right),180.0,65.0,Greuther Fuerth,Midfielder,Right,1
Davinson Sánchez,Defender (Centre),187.0,81.0,Tottenham,Defender,Centre,1
Daan Klomp,Defender (Centre),187.0,82.0,NAC Breda,Defender,Centre,1
Rodrigo Arciero,Defender (Right),181.0,77.0,Banfield,Defender,Right,1
Mauricio Pereyra,"Midfielder (Centre, Left, Right)",170.0,63.0,FC Krasnodar,Midfielder,Centre,3
Johannes Flum,Defender (Centre),190.0,82.0,St. Pauli,Defender,Centre,1
Josh Tymon,Defender (Left),178.0,74.0,Stoke,Defender,Left,1
Ali Adnan,Defender (Left),185.0,85.0,Vancouver Whitecaps,Defender,Left,1
Kwadwo Asamoah,Defender (Left),173.0,75.0,Inter,Defender,Left,1
Lukas Fröde,Defensive Midfielder (C),192.0,85.0,Duisburg,Defensive Midfielder,None,1
Matthias Verreth,Forward,182.0,81.0,PSV Eindhoven,Forward,None,1
Tom Barlow,Forward,188.0,84.0,New York Red Bulls,Forward,None,1
Mauricio Toni,Defender,185.0,77.0,Talleres,Defender,None,1
Waldemar Sobota,"Attacking Midfielder (Centre, Left, Right)",175.0,63.0,St. Pauli,Midfielder,Centre,3
Ilya Abaev,Goalkeeper,193.0,90.0,FC Rostov,Goalkeeper,None,1
Adam Armstrong,"Attacking Midfielder (Left, Right)",172.0,69.0,Blackburn,Midfielder,Left,2
Michael Frey,Forward,188.0,86.0,Fenerbahce,Forward,None,1
Enzo Loiodice,Defensive Midfielder (C),176.0,60.0,Dijon,Defensive Midfielder,None,1
Gaël Clichy,Defender (Left),176.0,65.0,Istanbul Basaksehir,Defender,Left,1
Jackson Irvine,"Midfielder (Centre, Left)",189.0,70.0,Hull,Midfielder,Centre,2
João Lopes,Goalkeeper,188.0,83.0,Santa Clara,Goalkeeper,None,1
Bram Nuytinck,Defender (Centre),190.0,80.0,Udinese,Defender,Centre,1
Tin Jedvaj,"Defender (Centre, Left, Right)",184.0,82.0,Bayer Leverkusen,Defender,Centre,3
Claudio Spinelli,Forward,176.82833333333335,72.9825,Argentinos Juniors,Forward,None,1
Carraça,Defender (Right),177.0,74.0,Boavista,Defender,Right,1
Kikas,Forward,177.0,71.0,Belenenses SAD,Forward,None,1
Atakan Akkaynak,Midfielder (Centre),180.0,73.0,Willem II,Midfielder,Centre,1
Luca Zidane,Goalkeeper,183.0,77.0,Real Madrid,Goalkeeper,None,1
Dario Melnjak,Defender (Left),180.0,72.9825,Rizespor,Defender,Left,1
James McClean,"Midfielder (Centre, Left, Right)",180.0,70.0,Stoke,Midfielder,Centre,3
Joaquín Correa,"Attacking Midfielder (Centre, Left)",189.0,75.0,Lazio,Midfielder,Centre,2
Rubén Rochina,"Midfielder (Centre, Left, Right)",182.0,76.0,Levante,Midfielder,Centre,3
Benjamin Pavard,"Defender (Centre, Right)",186.0,76.0,VfB Stuttgart,Defender,Centre,2
Thomas Bruns,"Attacking Midfielder (Centre, Left)",177.0,69.0,FC Groningen,Midfielder,Centre,2
Chadrac Akolo,Attacking Midfielder (Centre),172.0,72.0,VfB Stuttgart,Midfielder,Centre,1
Chris Mepham,Defender (Centre),191.0,84.0,Bournemouth,Defender,Centre,1
Papy Djilobodji,Defender (Centre),193.0,82.0,Guingamp,Defender,Centre,1
Michael de Leeuw,"Attacking Midfielder (Centre, Left, Right)",178.0,67.0,FC Emmen,Midfielder,Centre,3
Gonzalo Asis,Defender,174.0,65.0,Independiente,Defender,None,1
Borja Valle,Midfielder,177.0,74.0,Deportivo La Coruna,Midfielder,None,1
Felix Platte,Forward,190.0,90.0,Darmstadt,Forward,None,1
Pol Llonch,Midfielder (Centre),171.0,70.0,Willem II,Midfielder,Centre,1
Callum Elder,Defender (Left),180.0,67.0,Ipswich,Defender,Left,1
Abel Hernández,Forward,185.0,70.0,CSKA Moscow,Forward,None,1
João Novais,"Attacking Midfielder (Centre, Left, Right)",179.0,72.0,Braga,Midfielder,Centre,3
Charles,Defensive Midfielder (C),173.0,72.0,Antalyaspor,Defensive Midfielder,None,1
Jozabed Sánchez,Midfielder (Centre),180.0,65.0,Celta Vigo,Midfielder,Centre,1
Marcelo,Defender (Centre),182.0,74.0,Chicago Fire,Defender,Centre,1
Lionel Carole,Defender (Left),178.0,79.0,Strasbourg,Defender,Left,1
Fábio Pacheco,Defensive Midfielder (C),180.0,67.0,Moreirense,Defensive Midfielder,None,1
Sebastian Rode,Defender (Right),179.0,75.0,Eintracht Frankfurt,Defender,Right,1
Fredy Montero,Attacking Midfielder (Centre),176.0,73.0,Vancouver Whitecaps,Midfielder,Centre,1
Francesco Magnanelli,Defensive Midfielder (C),181.0,79.0,Sassuolo,Defensive Midfielder,None,1
Pablo Fornals,"Midfielder (Centre, Left, Right)",178.0,67.0,Villarreal,Midfielder,Centre,3
Miiko Albornoz,Defender (Left),180.0,80.0,Hannover 96,Defender,Left,1
Tim van de Berg,Defender,189.0,81.0,Heracles,Defender,None,1
Maximilian Bauer,Defender,189.0,84.0,Greuther Fuerth,Defender,None,1
Ryan Williams,"Attacking Midfielder (Centre, Left, Right)",173.0,76.0,Rotherham,Midfielder,Centre,3
Caner Cavlan,Defender (Left),175.0,70.0,FC Emmen,Defender,Left,1
Gonzalo Maroni,Attacking Midfielder (Centre),170.0,67.0,Talleres,Midfielder,Centre,1
Zeki Yavru,Defender (Right),178.0,72.0,Akhisarspor,Defender,Right,1
Johannes van den Bergh,Defender (Left),183.0,75.0,Holstein Kiel,Defender,Left,1
Nicolás Linares,Defensive Midfielder (C),175.0,72.0,Banfield,Defensive Midfielder,None,1
Roberto Piccoli,Forward,176.82833333333335,72.9825,Atalanta,Forward,None,1
Jimmy Briand,"Midfielder (Left, Right)",181.0,84.0,Bordeaux,Midfielder,Left,2
Justen Glad,Defender (Centre),183.0,66.0,Real Salt Lake,Defender,Centre,1
Semi Ajayi,Defender (Centre),193.0,83.0,Rotherham,Defender,Centre,1
Kike Márquez,Forward,176.0,72.0,Extremadura,Forward,None,1
James Chester,"Defender (Centre, Left, Right)",177.0,75.0,Aston Villa,Defender,Centre,3
Ben Alnwick,Goalkeeper,188.0,81.0,Bolton,Goalkeeper,None,1
Hassane Kamara,Defender (Left),168.0,67.0,Reims,Defender,Left,1
Joe Mattock,Defender (Left),181.0,78.0,Rotherham,Defender,Left,1
Emil Krafth,Defender (Right),184.0,83.0,Amiens,Defender,Right,1
Cyrus Christie,Defender (Right),188.0,78.0,Fulham,Defender,Right,1
Carlos Pita,Midfielder,185.0,84.0,Lugo,Midfielder,None,1
Nicolás Schiappacasse,Forward,180.0,73.0,Parma Calcio 1913,Forward,None,1
Tolgay Arslan,Midfielder (Centre),180.0,77.0,Fenerbahce,Midfielder,Centre,1
Tobias Reithmeir,Defender,190.0,87.0,FC Heidenheim,Defender,None,1
Sean Klaiber,Defender (Right),184.0,77.0,FC Utrecht,Defender,Right,1
Jannik Pohl,Forward,183.0,77.0,FC Groningen,Forward,None,1
Gastón Campi,"Defender (Centre, Left)",192.0,80.0,Chaves,Defender,Centre,2
Jasmin Kurtic,"Midfielder (Centre, Left)",186.0,88.0,SPAL 2013,Midfielder,Centre,2
Matheus Reis,Defender (Left),184.0,79.0,Rio Ave,Defender,Left,1
Federico Mattiello,"Midfielder (Left, Right)",182.0,73.0,Bologna,Midfielder,Left,2
Miles Robinson,Defender (Centre),188.0,84.0,Atlanta United,Defender,Centre,1
José Luis Palomino,Defender (Centre),190.0,78.0,Atalanta,Defender,Centre,1
Nathaniel Clyne,Defender (Right),175.0,67.0,Bournemouth,Defender,Right,1
Francesco Acerbi,Defender (Centre),192.0,88.0,Lazio,Defender,Centre,1
Tim Chow,Midfielder (Centre),180.0,72.0,Henan Jianye,Midfielder,Centre,1
Cole Skuse,Defensive Midfielder (C),185.0,72.0,Ipswich,Defensive Midfielder,None,1
Daniel Lasure,Defender,176.0,72.0,Real Zaragoza,Defender,None,1
Sergi Palencia,Defender (Right),172.0,69.0,Bordeaux,Defender,Right,1
Kevin Vázquez,Defender,173.0,72.0,Celta Vigo,Defender,None,1
Raphael Framberger,Defender (Right),179.0,73.0,Augsburg,Defender,Right,1
Anton Belov,Defender,191.0,81.0,Anzhi Makhachkala,Defender,None,1
Nélson Semedo,Defender (Right),177.0,67.0,Barcelona,Defender,Right,1
André-Frank Zambo Anguissa,Defensive Midfielder (C),184.0,78.0,Fulham,Defensive Midfielder,None,1
Marc-Aurèle Caillard,Goalkeeper,191.0,87.0,Guingamp,Goalkeeper,None,1
Arturo Vidal,Midfielder (Centre),180.0,75.0,Barcelona,Midfielder,Centre,1
Luciano Abecasis,Defender (Right),175.0,73.0,Godoy Cruz,Defender,Right,1
Alexis Maldonado,Defender (Centre),188.0,86.0,Banfield,Defender,Centre,1
Filip Kusic,Defender (Centre),187.0,78.0,Erzgebirge Aue,Defender,Centre,1
Laurent Depoitre,Forward,191.0,91.0,Huddersfield,Forward,None,1
Michel Vorm,Goalkeeper,183.0,84.0,Tottenham,Goalkeeper,None,1
Theodor Gebre Selassie,"Defender (Left, Right)",181.0,71.0,Werder Bremen,Defender,Left,2
Vladimir Poluyakhtov,Defender (Left),180.0,78.0,Krylya Sovetov Samara,Defender,Left,1
Oussama Tannane,"Attacking Midfielder (Left, Right)",177.0,80.0,FC Utrecht,Midfielder,Left,2
Dusan Vlahovic,Forward,190.0,75.0,Fiorentina,Forward,None,1
Diego Lainez,Midfielder,167.0,58.0,Real Betis,Midfielder,None,1
Thomas Amilivia,Midfielder,178.0,75.0,Argentinos Juniors,Midfielder,None,1
Stefan Posch,Defender (Centre),188.0,76.0,Hoffenheim,Defender,Centre,1
Agustín Allione,"Attacking Midfielder (Centre, Left, Right)",169.0,69.0,Rosario Central,Midfielder,Centre,3
Romain Métanire,Defender (Right),178.0,72.0,Minnesota United,Defender,Right,1
Nahitan Nández,Defensive Midfielder (C),172.0,70.0,Boca Juniors,Defensive Midfielder,None,1
Jake Livermore,Defender (Centre),181.0,91.0,West Bromwich Albion,Defender,Centre,1
Paolo Goltz,Defender (Centre),183.0,80.0,Boca Juniors,Defender,Centre,1
Aleksandar Katai,"Attacking Midfielder (Centre, Left, Right)",182.0,70.0,Chicago Fire,Midfielder,Centre,3
Oumar Niasse,Forward,182.0,75.0,Cardiff,Forward,None,1
Aymen Barkok,Attacking Midfielder (Centre),188.0,75.0,Fortuna Duesseldorf,Midfielder,Centre,1
Filip Djuricic,"Attacking Midfielder (Centre, Left, Right)",176.0,69.0,Sassuolo,Midfielder,Centre,3
Klaus Gjasula,Defensive Midfielder (C),192.0,84.0,Paderborn,Defensive Midfielder,None,1
Benjamin Mendy,Defender (Left),185.0,85.0,ManCity,Defender,Left,1
Luciano Slagveer,Attacking Midfielder (Right),178.0,74.0,FC Emmen,Midfielder,Right,1
Marc Muniesa,"Defender (Centre, Left)",179.0,72.0,Girona,Defender,Centre,2
Lechii Sadulaev,Midfielder,178.0,65.0,FK Akhmat,Midfielder,None,1
Kenedy,Defender (Left),182.0,77.0,Newcastle United,Defender,Left,1
Melvyn Lorenzen,Attacking Midfielder (Left),188.0,86.0,ADO Den Haag,Midfielder,Left,1
