league,team,ws_link,tm_link
Primera División (ARG),Estudiantes,/Teams/901/Show/Argentina-Estudiantes,/estudiantes-de-la-plata/startseite/verein/288
Primera División (ARG),San Lorenzo,/Teams/906/Show/Argentina-San-Lorenzo,/club-atletico-san-lorenzo-de-almagro/startseite/verein/1775
Primera División (ARG),Gimnasia LP,/Teams/896/Show/Argentina-Gimnasia-LP,/club-de-gimnasia-y-esgrima-la-plata/startseite/verein/1106
Primera División (ARG),Banfield,/Teams/1303/Show/Argentina-Banfield,/club-atletico-banfield/startseite/verein/830
Primera División (ARG),Newells Old Boys,/Teams/902/Show/Argentina-Newells-Old-Boys,/club-atletico-newells-old-boys/startseite/verein/1286
Primera División (ARG),Velez Sarsfield,/Teams/895/Show/Argentina-Velez-Sarsfield,/club-atletico-velez-sarsfield/startseite/verein/1029
Primera División (ARG),Aldosivi,/Teams/6145/Show/Argentina-Aldosivi,/club-atletico-aldosivi-mdp-/startseite/verein/12301
Primera División (ARG),Boca Juniors,/Teams/889/Show/Argentina-Boca-Juniors,/club-atletico-boca-juniors/startseite/verein/189
Primera División (ARG),Rosario Central,/Teams/903/Show/Argentina-Rosario-Central,/club-atletico-rosario-central/startseite/verein/1418
Primera División (ARG),Independiente,/Teams/897/Show/Argentina-Independiente,/ca-independiente-de-avellaneda/startseite/verein/1234
Primera División (ARG),Patronato de Parana,/Teams/9310/Show/Argentina-Patronato-de-Parana,/club-atletico-patronato/startseite/verein/19806
Primera División (ARG),Argentinos Juniors,/Teams/907/Show/Argentina-Argentinos-Juniors,/argentinos-juniors/startseite/verein/1030
Primera División (ARG),Belgrano,/Teams/894/Show/Argentina-Belgrano,/belgrano-de-cordoba/startseite/verein/2417
Primera División (ARG),Godoy Cruz,/Teams/3802/Show/Argentina-Godoy-Cruz,/club-deportivo-godoy-cruz/startseite/verein/12574
Primera División (ARG),Talleres,/Teams/893/Show/Argentina-Talleres,/talleres-de-cordoba-ca/startseite/verein/3938
Primera División (ARG),River Plate,/Teams/905/Show/Argentina-River-Plate,/club-atletico-river-plate/startseite/verein/209
Primera División (ARG),Tigre,/Teams/4735/Show/Argentina-Tigre,/club-atletico-tigre/startseite/verein/11831
Primera División (ARG),Racing Club,/Teams/890/Show/Argentina-Racing-Club,/racing-club-de-avellaneda/startseite/verein/1444
Primera División (ARG),Defensa y Justicia,/Teams/6147/Show/Argentina-Defensa-y-Justicia,/defensa-y-justicia/startseite/verein/2402
Premier League (ENG),Everton,/Teams/31/Show/England-Everton,/fc-everton/startseite/verein/29
Premier League (ENG),Burnley,/Teams/184/Show/England-Burnley,/fc-burnley/startseite/verein/1132
Premier League (ENG),Bournemouth,/Teams/183/Show/England-Bournemouth,/afc-bournemouth/startseite/verein/989
Premier League (ENG),Tottenham,/Teams/30/Show/England-Tottenham,/tottenham-hotspur/startseite/verein/148
Premier League (ENG),West Ham,/Teams/29/Show/England-West-Ham,/west-ham-united/startseite/verein/379
Premier League (ENG),Southampton,/Teams/18/Show/England-Southampton,/fc-southampton/startseite/verein/180
Premier League (ENG),Wolverhampton Wanderers,/Teams/161/Show/England-Wolverhampton-Wanderers,/wolverhampton-wanderers/startseite/verein/543
Premier League (ENG),Fulham,/Teams/170/Show/England-Fulham,/fc-fulham/startseite/verein/931
Premier League (ENG),Cardiff,/Teams/188/Show/Wales-Cardiff,/cardiff-city/startseite/verein/603
Premier League (ENG),Crystal Palace,/Teams/162/Show/England-Crystal-Palace,/crystal-palace/startseite/verein/873
Premier League (ENG),Newcastle United,/Teams/23/Show/England-Newcastle-United,/newcastle-united/startseite/verein/762
Premier League (ENG),Liverpool,/Teams/26/Show/England-Liverpool,/fc-liverpool/startseite/verein/31
Premier League (ENG),Chelsea,/Teams/15/Show/England-Chelsea,/fc-chelsea/startseite/verein/631
Premier League (ENG),Watford,/Teams/27/Show/England-Watford,/fc-watford/startseite/verein/1010
Premier League (ENG),Huddersfield,/Teams/166/Show/England-Huddersfield,/huddersfield-town/startseite/verein/1110
Premier League (ENG),ManUn,/Teams/32/Show/England-Manchester-United,/manchester-united/startseite/verein/985
Premier League (ENG),Arsenal,/Teams/13/Show/England-Arsenal,/fc-arsenal/startseite/verein/11
Premier League (ENG),Brighton,/Teams/211/Show/England-Brighton,/brighton-amp-hove-albion/startseite/verein/1237
Premier League (ENG),ManCity,/Teams/167/Show/England-Manchester-City,/manchester-city/startseite/verein/281
Premier League (ENG),Leicester,/Teams/14/Show/England-Leicester,/leicester-city/startseite/verein/1003
Liga NOS (POR),Moreirense,/Teams/108/Show/Portugal-Moreirense,/moreirense-fc/startseite/verein/979
Liga NOS (POR),Rio Ave,/Teams/121/Show/Portugal-Rio-Ave,/rio-ave-fc/startseite/verein/2425
Liga NOS (POR),Feirense,/Teams/2187/Show/Portugal-Feirense,/cd-feirense/startseite/verein/3349
Liga NOS (POR),Chaves,/Teams/2008/Show/Portugal-Chaves,/gd-chaves/startseite/verein/3325
Liga NOS (POR),Braga,/Teams/288/Show/Portugal-Braga,/sc-braga/startseite/verein/1075
Liga NOS (POR),Benfica,/Teams/299/Show/Portugal-Benfica,/benfica-lissabon/startseite/verein/294
Liga NOS (POR),Portimonense,/Teams/1463/Show/Portugal-Portimonense,/portimonense-sc/startseite/verein/7378
Liga NOS (POR),FC Porto,/Teams/297/Show/Portugal-FC-Porto,/fc-porto/startseite/verein/720
Liga NOS (POR),Aves,/Teams/785/Show/Portugal-Aves,/desportivo-aves/startseite/verein/3336
Liga NOS (POR),Tondela,/Teams/8071/Show/Portugal-Tondela,/cd-tondela/startseite/verein/7179
Liga NOS (POR),Santa Clara,/Teams/251/Show/Portugal-Santa-Clara,/cd-santa-clara/startseite/verein/2423
Liga NOS (POR),Belenenses SAD,/Teams/292/Show/Portugal-Belenenses-SAD,/cf-belenenses-lissabon/startseite/verein/2457
Liga NOS (POR),Sporting CP,/Teams/296/Show/Portugal-Sporting-CP,/sporting-lissabon/startseite/verein/336
Liga NOS (POR),Nacional,/Teams/936/Show/Portugal-Nacional,/cd-nacional/startseite/verein/982
Liga NOS (POR),Boavista,/Teams/122/Show/Portugal-Boavista,/boavista-porto-fc/startseite/verein/2503
Super Lig (TUR),Yeni Malatyaspor,/Teams/5732/Show/Turkey-Yeni-Malatyaspor,/yeni-malatyaspor/startseite/verein/19789
Super Lig (TUR),Kasimpasa,/Teams/3475/Show/Turkey-Kasimpasa,/kasimpasa/startseite/verein/10484
Super Lig (TUR),Konyaspor,/Teams/2006/Show/Turkey-Konyaspor,/torku-konyaspor/startseite/verein/2293
Super Lig (TUR),Galatasaray,/Teams/294/Show/Turkey-Galatasaray,/galatasaray-istanbul/startseite/verein/141
Super Lig (TUR),Sivasspor,/Teams/2003/Show/Turkey-Sivasspor,/sivasspor/startseite/verein/2381
Super Lig (TUR),Istanbul Basaksehir,/Teams/2201/Show/Turkey-Istanbul-Basaksehir,/istanbul-buyuksehir-belediyespor/startseite/verein/6890
Super Lig (TUR),Rizespor,/Teams/750/Show/Turkey-Rizespor,/caykur-rizespor/startseite/verein/126
Super Lig (TUR),Bursaspor,/Teams/221/Show/Turkey-Bursaspor,/bursaspor/startseite/verein/20
Super Lig (TUR),Fenerbahce,/Teams/223/Show/Turkey-Fenerbahce,/fenerbahce-istanbul/startseite/verein/36
Super Lig (TUR),Akhisarspor,/Teams/5729/Show/Turkey-Akhisarspor,/akhisar-belediye-genclik-ve-spor/startseite/verein/19771
Super Lig (TUR),Antalyaspor,/Teams/227/Show/Turkey-Antalyaspor,/medical-park-antalyaspor/startseite/verein/589
Super Lig (TUR),Besiktas,/Teams/133/Show/Turkey-Besiktas,/besiktas-istanbul/startseite/verein/114
Super Lig (TUR),Trabzonspor,/Teams/226/Show/Turkey-Trabzonspor,/trabzonspor/startseite/verein/449
Super Lig (TUR),Alanyaspor,/Teams/3473/Show/Turkey-Alanyaspor,/alanyaspor/startseite/verein/11282
Super Lig (TUR),Kayserispor,/Teams/2200/Show/Turkey-Kayserispor,/kayserispor/startseite/verein/3205
Serie A (ITA),Atalanta,/Teams/300/Show/Italy-Atalanta,/atalanta-bergamo/startseite/verein/800
Serie A (ITA),Udinese,/Teams/86/Show/Italy-Udinese,/udinese-calcio/startseite/verein/410
Serie A (ITA),Fiorentina,/Teams/73/Show/Italy-Fiorentina,/ac-florenz/startseite/verein/430
Serie A (ITA),Sassuolo,/Teams/2889/Show/Italy-Sassuolo,/us-sassuolo/startseite/verein/6574
Serie A (ITA),Juventus,/Teams/87/Show/Italy-Juventus,/juventus-turin/startseite/verein/506
Serie A (ITA),Torino,/Teams/72/Show/Italy-Torino,/fc-turin/startseite/verein/416
Serie A (ITA),Chievo,/Teams/267/Show/Italy-Chievo,/chievo-verona/startseite/verein/862
Serie A (ITA),SPAL 2013,/Teams/1502/Show/Italy-SPAL-2013,/spal-2013/startseite/verein/2722
Serie A (ITA),Inter,/Teams/75/Show/Italy-Inter,/inter-mailand/startseite/verein/46
Serie A (ITA),Empoli,/Teams/272/Show/Italy-Empoli,/fc-empoli/startseite/verein/749
Serie A (ITA),Frosinone,/Teams/2732/Show/Italy-Frosinone,/frosinone-calcio/startseite/verein/8970
Serie A (ITA),Lazio,/Teams/77/Show/Italy-Lazio,/lazio-rom/startseite/verein/398
Serie A (ITA),Parma Calcio 1913,/Teams/24341/Show/Italy-Parma-Calcio-1913,/fc-parma/startseite/verein/130
Serie A (ITA),Sampdoria,/Teams/271/Show/Italy-Sampdoria,/uc-sampdoria/startseite/verein/1038
Serie A (ITA),Genoa,/Teams/278/Show/Italy-Genoa,/fc-genua-1893/startseite/verein/252
Serie A (ITA),Roma,/Teams/84/Show/Italy-Roma,/as-rom/startseite/verein/12
Serie A (ITA),Napoli,/Teams/276/Show/Italy-Napoli,/ssc-neapel/startseite/verein/6195
Serie A (ITA),Cagliari,/Teams/78/Show/Italy-Cagliari,/cagliari-calcio/startseite/verein/1390
Serie A (ITA),AC Milan,/Teams/80/Show/Italy-AC-Milan,/ac-mailand/startseite/verein/5
Serie A (ITA),Bologna,/Teams/71/Show/Italy-Bologna,/fc-bologna/startseite/verein/1025
Eredivise (NET),SC Heerenveen,/Teams/287/Show/Netherlands-SC-Heerenveen,/sc-heerenveen/startseite/verein/306
Eredivise (NET),NAC Breda,/Teams/783/Show/Netherlands-NAC-Breda,/nac-breda/startseite/verein/132
Eredivise (NET),Feyenoord,/Teams/256/Show/Netherlands-Feyenoord,/feyenoord-rotterdam/startseite/verein/234
Eredivise (NET),ADO Den Haag,/Teams/764/Show/Netherlands-ADO-Den-Haag,/ado-den-haag/startseite/verein/1268
Eredivise (NET),AZ Alkmaar,/Teams/243/Show/Netherlands-AZ-Alkmaar,/az-alkmaar/startseite/verein/1090
Eredivise (NET),PSV Eindhoven,/Teams/129/Show/Netherlands-PSV-Eindhoven,/psv-eindhoven/startseite/verein/383
Eredivise (NET),Willem II,/Teams/115/Show/Netherlands-Willem-II,/willem-ii-tilburg/startseite/verein/403
Eredivise (NET),FC Emmen,/Teams/875/Show/Netherlands-FC-Emmen,/fc-emmen/startseite/verein/1283
Eredivise (NET),PEC Zwolle,/Teams/868/Show/Netherlands-PEC-Zwolle,/pec-zwolle/startseite/verein/1269
Eredivise (NET),VVV-Venlo,/Teams/765/Show/Netherlands-VVV-Venlo,/vvv-venlo/startseite/verein/1426
Eredivise (NET),Ajax,/Teams/130/Show/Netherlands-Ajax,/ajax-amsterdam/startseite/verein/610
Eredivise (NET),FC Utrecht,/Teams/128/Show/Netherlands-FC-Utrecht,/fc-utrecht/startseite/verein/200
Eredivise (NET),Heracles,/Teams/870/Show/Netherlands-Heracles,/heracles-almelo/startseite/verein/1304
Eredivise (NET),Excelsior,/Teams/867/Show/Netherlands-Excelsior,/excelsior-rotterdam/startseite/verein/798
Eredivise (NET),Vitesse,/Teams/255/Show/Netherlands-Vitesse,/vitesse-arnheim/startseite/verein/499
Eredivise (NET),De Graafschap,/Teams/257/Show/Netherlands-De-Graafschap,/de-graafschap-doetinchem/startseite/verein/642
Eredivise (NET),FC Groningen,/Teams/758/Show/Netherlands-FC-Groningen,/fc-groningen/startseite/verein/202
Eredivise (NET),Fortuna Sittard,/Teams/242/Show/Netherlands-Fortuna-Sittard,/fortuna-sittard/startseite/verein/385
Championship (ENG),Millwall,/Teams/192/Show/England-Millwall,/fc-millwall/startseite/verein/1028
Championship (ENG),Bristol City,/Teams/182/Show/England-Bristol-City,/bristol-city/startseite/verein/698
Championship (ENG),Swansea,/Teams/259/Show/Wales-Swansea,/swansea-city/startseite/verein/2288
Championship (ENG),Derby,/Teams/20/Show/England-Derby,/derby-county/startseite/verein/22
Championship (ENG),Nottingham Forest,/Teams/174/Show/England-Nottingham-Forest,/nottingham-forest/startseite/verein/703
Championship (ENG),Bolton,/Teams/92/Show/England-Bolton,/bolton-wanderers/startseite/verein/355
Championship (ENG),Reading,/Teams/94/Show/England-Reading,/fc-reading/startseite/verein/1032
Championship (ENG),Birmingham,/Teams/157/Show/England-Birmingham,/birmingham-city/startseite/verein/337
Championship (ENG),Rotherham,/Teams/210/Show/England-Rotherham,/rotherham-united/startseite/verein/1194
Championship (ENG),Middlesbrough,/Teams/21/Show/England-Middlesbrough,/fc-middlesbrough/startseite/verein/641
Championship (ENG),Sheffield Wednesday,/Teams/25/Show/England-Sheffield-Wednesday,/sheffield-wednesday/startseite/verein/1035
Championship (ENG),Queens Park Rangers,/Teams/171/Show/England-Queens-Park-Rangers,/queens-park-rangers/startseite/verein/1039
Championship (ENG),Stoke,/Teams/96/Show/England-Stoke,/stoke-city/startseite/verein/512
Championship (ENG),Sheffield United,/Teams/163/Show/England-Sheffield-United,/sheffield-united/startseite/verein/350
Championship (ENG),Wigan,/Teams/194/Show/England-Wigan,/wigan-athletic/startseite/verein/1071
Championship (ENG),Aston Villa,/Teams/24/Show/England-Aston-Villa,/aston-villa/startseite/verein/405
Championship (ENG),Norwich,/Teams/168/Show/England-Norwich,/norwich-city/startseite/verein/1123
Championship (ENG),Blackburn,/Teams/158/Show/England-Blackburn,/blackburn-rovers/startseite/verein/164
Championship (ENG),Brentford,/Teams/189/Show/England-Brentford,/fc-brentford/startseite/verein/1148
Championship (ENG),Preston,/Teams/181/Show/England-Preston,/preston-north-end/startseite/verein/466
Championship (ENG),West Bromwich Albion,/Teams/175/Show/England-West-Bromwich-Albion,/west-bromwich-albion/startseite/verein/984
Championship (ENG),Hull,/Teams/214/Show/England-Hull,/hull-city/startseite/verein/3008
Championship (ENG),Ipswich,/Teams/165/Show/England-Ipswich,/ipswich-town/startseite/verein/677
Championship (ENG),Leeds,/Teams/19/Show/England-Leeds,/leeds-united/startseite/verein/399
La Liga (SPA),Real Betis,/Teams/54/Show/Spain-Real-Betis,/real-betis-sevilla/startseite/verein/150
